TrialID,SubjID,block,btrial,tord,RT,Selection
574,5,21,4,94,3736,0
575,5,21,5,95,4246,1
576,5,19,1,96,6159,1
577,5,19,2,97,7130,0
578,5,19,3,98,2263,0
579,5,19,4,99,4547,0
580,5,19,5,100,4126,0
581,5,20,1,101,5708,0
582,5,20,2,102,3655,0
583,5,20,3,103,2584,0
584,5,20,4,104,3756,0
585,5,20,5,105,3104,1
586,5,3,1,106,9023,1
587,5,3,2,107,5488,0
588,5,3,3,108,1742,1
589,5,3,4,109,3005,0
590,5,3,5,110,6760,0
591,5,1,1,111,4256,1
592,5,1,2,112,4977,1
593,5,1,3,113,2653,0
594,5,1,4,114,2604,1
595,5,1,5,115,6219,0
596,5,6,1,116,4556,0
597,5,6,2,117,6409,1
598,5,6,3,118,1733,1
599,5,6,4,119,1882,1
600,5,6,5,120,6569,0
601,6,9,1,1,6319,0
602,6,9,2,2,8332,1
603,6,9,3,3,3495,0
604,6,9,4,4,2394,0
605,6,9,5,5,7320,1
606,6,21,1,6,18817,0
607,6,21,2,7,7701,1
608,6,21,3,8,2003,1
609,6,21,4,9,5558,0
610,6,21,5,10,4046,1
611,6,22,1,11,4727,0
612,6,22,2,12,4486,0
613,6,22,3,13,2083,0
614,6,22,4,14,2724,1
615,6,22,5,15,2764,0
616,6,10,1,16,4226,0
617,6,10,2,17,3485,0
618,6,10,3,18,1733,1
619,6,10,4,19,2754,1
620,6,10,5,20,13299,0
621,6,5,1,21,7992,1
622,6,5,2,22,6029,1
623,6,5,3,23,1742,0
624,6,5,4,24,3105,1
625,6,5,5,25,7110,1
626,6,13,1,26,5467,1
627,6,13,2,27,5288,1
628,6,13,3,28,1923,1
629,6,13,4,29,3084,1
630,6,13,5,30,3655,1
631,6,11,1,31,5918,1
632,6,11,2,32,6529,1
633,6,11,3,33,2103,0
634,6,11,4,34,2473,1
635,6,11,5,35,7541,0
636,6,2,1,36,6159,1
637,6,2,2,37,3685,0
638,6,2,3,38,2213,0
639,6,2,4,39,2444,0
640,6,2,5,40,7070,1
641,6,23,1,41,4506,1
642,6,23,2,42,6970,0
643,6,23,3,43,1612,0
644,6,23,4,44,1853,0
645,6,23,5,45,4686,0
646,6,16,1,46,4496,1
647,6,16,2,47,3605,1
648,6,16,3,48,1712,1
649,6,16,4,49,2384,1
650,6,16,5,50,3665,1
651,6,12,1,51,4867,1
652,6,12,2,52,4146,1
653,6,12,3,53,1782,1
654,6,12,4,54,2594,1
655,6,12,5,55,6529,0
656,6,7,1,56,7771,1
657,6,7,2,57,5087,1
658,6,7,3,58,2304,1
659,6,7,4,59,3585,1
